id,idade,sexo,formacao,experiencia,fundo_indicado_assessor,informacao,noticia_escolhida,escolha_info_noticia,vies_confirmacao_indicacao,vies_confirmacao_informacao,fundo_escolhido,vies_confirmacao_infonot_escolhidas,vies_confirmacao_indicacao_escolha,perfil,vies_confirmacao_perfil,vies_confirmacao_perfil_decisao
74,31 a 40 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e não tem conhecimento,arrojado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
75,51 a 60 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,arrojado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
76,61 ou mais,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e não tem conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
77,41 a 50 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e não tem conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
78,51 a 60 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,conservador,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
79,51 a 60 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Qualificado,arrojado,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
80,31 a 40 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e não tem conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
81,18 a 30 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e conhecimento,arrojado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
82,61 ou mais,Mulher,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,arrojado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
83,41 a 50 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Não possuir investimentos,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
84,41 a 50 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Não possuir investimentos,arrojado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
85,31 a 40 anos,Homem,Outra,Possui investimento e conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
86,18 a 30 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e não tem conhecimento,conservador,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
87,41 a 50 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
88,41 a 50 anos,Mulher,Outra,Não possuir investimentos,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
89,41 a 50 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e não tem conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
90,41 a 50 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e conhecimento,arrojado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
91,41 a 50 anos,Mulher,Formado em outra área e não trabalha com finanças,Não possuir investimentos,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
92,61 ou mais,Mulher,Formado em outra área e não trabalha com finanças,Não possuir investimentos,moderado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
93,41 a 50 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e não tem conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
94,51 a 60 anos,Mulher,Outra,Não possuir investimentos,arrojado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
95,51 a 60 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e pouco conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
96,61 ou mais,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,arrojado,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
97,41 a 50 anos,Homem,Outra,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
98,61 ou mais,Mulher,Outra,Não possuir investimentos,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
99,31 a 40 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e não tem conhecimento,conservador,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
100,41 a 50 anos,Mulher,Formado em outra área e não trabalha com finanças,Possui investimento e não tem conhecimento,arrojado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação
101,18 a 30 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,conservador,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
102,18 a 30 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Não possuir investimentos,arrojado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
103,18 a 30 anos,Homem,Formado em outra área e não trabalha com finanças,Não possuir investimentos,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
104,61 ou mais,Mulher,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
105,18 a 30 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e não tem conhecimento,conservador,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
106,18 a 30 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
107,31 a 40 anos,Mulher,Formado em outra área e não trabalha com finanças,Possui investimento e não tem conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
108,61 ou mais,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Qualificado,moderado,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Apresentou o viés de confirmação
109,51 a 60 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
110,18 a 30 anos,Homem,Outra,Possui investimento e conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
111,18 a 30 anos,Mulher,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,arrojado,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Apresentou o viés de confirmação
112,41 a 50 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,moderado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
113,31 a 40 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,conservador,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
114,18 a 30 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,arrojado,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
115,18 a 30 anos,Mulher,Outra,Não possuir investimentos,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
116,31 a 40 anos,Mulher,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
117,31 a 40 anos,Homem,Outra,Não possuir investimentos,conservador,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
118,51 a 60 anos,Mulher,Formado em outra área e não trabalha com finanças,Possui investimento e não tem conhecimento,arrojado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
119,18 a 30 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,arrojado,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
120,31 a 40 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
121,61 ou mais,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Não possuir investimentos,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
122,61 ou mais,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
123,31 a 40 anos,Mulher,Formado em outra área e trabalha com finanças,Possui investimento e não tem conhecimento,moderado,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
124,31 a 40 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Não possuir investimentos,arrojado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
125,31 a 40 anos,Mulher,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,arrojado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
126,31 a 40 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
127,31 a 40 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
128,41 a 50 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Não possuir investimentos,moderado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
129,31 a 40 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Não possuir investimentos,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
130,31 a 40 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e não tem conhecimento,conservador,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação
131,51 a 60 anos,Mulher,Outra,Possui investimento e não tem conhecimento,conservador,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
132,31 a 40 anos,Mulher,Outra,Possui investimento e não tem conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
133,51 a 60 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,conservador,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
134,18 a 30 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Não possuir investimentos,conservador,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
135,51 a 60 anos,Mulher,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
136,41 a 50 anos,Mulher,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,arrojado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
137,31 a 40 anos,Mulher,Formado em outra área e não trabalha com finanças,Não possuir investimentos,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
138,31 a 40 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Não possuir investimentos,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
139,18 a 30 anos,Mulher,Outra,Não possuir investimentos,moderado,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
140,18 a 30 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Não possuir investimentos,arrojado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
141,18 a 30 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Não possuir investimentos,conservador,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
142,51 a 60 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
143,41 a 50 anos,Homem,Formado em outra área e não trabalha com finanças,Não possuir investimentos,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
144,41 a 50 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
145,18 a 30 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Não possuir investimentos,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
146,31 a 40 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
147,41 a 50 anos,Mulher,Formado em outra área e não trabalha com finanças,Não possuir investimentos,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
